competency_domain,competency,skill,description,related_skills,,learning resources (work in progress),slug,tools_languages_methodologies,learning_resources
,,Web frameworks for front-end development,Proficiency in using programming tools and libraries to build and maintain the interactive and visual aspects of websites and web applications.,website-development,,,web-frameworks-for-frontend-development,javascript|typescript|react|node-js|css|sass|angular|vue|nuxt|svelte|bootstrap|jquery|tailwind|bulma|wordpress,
,,Web frameworks for back-end development,"Ability to use web frameworks to build and maintain server-side applications, including implementing application logic, interacting with databases, and developing APIs for data and service access.",web-frameworks-for-frontend-development|website-development,,,web-frameworks-for-backend-development,django|flask|dash|shiny|ruby-on-rails|fastapi|dart|flutter|react-native|node|express|next|nest|php|streamlit|jekyll,
,,Website development,Ability to create Web pages or websites to maintain a presence on the World Wide Web.,web-frameworks-for-frontend-development,,,website-development,html|css|sass|markdown|github-pages|wordpress|json|javascript,
,,Mobile app development,"Ability to design, implement and optimise the user interface and user experience of mobile applications, translating design concepts into functional, responsive, and visually engaging app interfaces.",website-development,,,mobile-app-development,react-native|xamarin|flutter|swift|dart,
,Software engineering,,"Application of structured approaches, theory and supporting tools to plan, develop, test and maintain high-quality and secure software applications and systems.",,,,software-engineering,,
,,Compiling code,"Understanding how compilers translate high-level languages into machine code, including concepts like lexical analysis, parsing and code optimisation.",,,,compiling-code,yacc|bison|lex|compilers,
,,Programming,"Writing code using the knowledge of programming languages - understanding syntax, algorithms, code and data structures.",computational-scientific-workflows-data-pipelines,,"Home - Scientific Python Development Guide
Introduction to good practices in research software development by the Carpentries",programming,algorithms|c|c-sharp|c-plus-plus|fortran|java|julia|matlab|python|r|ruby|shell-scripting|bash|makefiles|ide|javascript|pascal|rust|typescript|prolog|lisp|jupyter-notebooks|pandas|numpy|rstudio|scala,scientific-python-development-guide|introduction-to-good-practices-in-research-software-development-by-the-carpentries|building-better-research-software
,,Generative AI,Ability to leverage AI tools to augment and enhance traditional software development processes.,,,,generative-ai,hugging-face-transformers|openai|chatgpt|google-gemini|diffusers|tensorflow-gan|pytorch|pytorch-gan|generative-adversarial-network-gan|langchain|gradio|streamlit|google-cloud-for-ai|aws-sagemaker|azure-ai|prompt-engineering|microsoft-copilot|github-copilot,gan-implementation-in-pytorch
,,Reading and understanding code and documentation,"Comprehending technical documents to grasp software functionality, architecture and usage.",,,,reading-and-understanding-code-and-documentation,,
,,Text mining,Ability to design expressions to match specific patterns within textual data.,,,Library Carpentry: Introduction to Regular Expressions,text-mining,regular-expressions,library-carpentry-introduction-to-regular-expressions
,,Computer modelling and simulation,Ability to develop and use computational models to represent real-world systems and simulate their behaviour under different conditions.,numerical-analysis,,,computer-modelling-and-simulation,,
,,Numerical analysis,"Ability to develop, apply and improve numerical methods to approximate solutions to mathematical problems.",computer-modelling-and-simulation,,,numerical-analysis,,
,,"Coding conventions, code formatting and linting","Understanding and applying coding standards, using code formatting tools and linters to ensure code quality consistency and readability.",,,Code Styling and Linting - The Turing Way,coding-conventions-code-formatting-and-linting,linters|static-program-analysis|jslint|eslint|black|ruff|lintr|styler,code-styling-and-linting-the-turing-way|building-better-research-software
,,Software testing,"Ability to design, execute and analyse various types of tests, covering both manual and automated techniques.",,,Code Testing - The Turing Way,software-testing,unit-testing|integration-testing|system-testing|acceptance-testing|postman|cypress|sonarqube|pytest|pyunit|jest|mocha|jasmine|karma|junit|mockito|test-driven-development|github-actions,code-testing-the-turing-way|building-better-research-software
,,Software debugging,"Ability to use various techniques and tools to identify, isolate and fix errors in software code.",log-analysis,,,software-debugging,gdb,
,,Code review,"Ability to effectively evaluate and improve the quality of code by understanding the code structure, logic as well as soft skills like clear communication and constructive feedback",,,Mini toolkit - code review anxiety workbook. How to make good code reviews better.,code-review,pair-programming|pull-requests,mini-toolkit-code-review-anxiety-workbook|how-to-make-good-code-reviews-better
,,Profiling and optimising code,"Ability to analyse code execution, identify performance bottlenecks and implement changes to improve efficiency and responsiveness.",,,,profiling-and-optimising-code,,
,,Log analysis,"Ability to use log analysis tools, identify patterns and anomalies and interpret log data to diagnose issues and improve system performance.",software-debugging,,,log-analysis,,
,,Software version control,"Ability to use tools and techniques to track and manage changes to source code, ensuring efficient development and collaboration.",,,"Version Control with Git - Carpentries
Github Documentation
GitLab Documentation
Version Control - The Turing Way
Collaborative version control with Git and GitHub - pre-alpha",software-version-control,git|mercurial|svn|github|gitlab|bitbucket,carpentries-courses|github-documentation|version-control-the-turing-way|collaborative-version-control-with-git-and-github-by-the-carpentries
,,Software validation and verification,Ensuring that a software system meets specifications and fulfills its intended purpose.,profiling-and-optimising-code,,,software-validation-and-verification,sonarqube|checkmarx|jprofiler|system-testing|selenium|cypress,
,,Good software practices,"Understanding of and expertise in developing and maintaining software that adheres to the ""good"" software practices and knowledge of tools that test for them.",metadata-standards,,An R reproducibility toolkit for the practical researcher,good-software-practices,fair-software|codecheck|fairsoft|citation-cff|codemeta|software-quality-practices,an-r-reproducibility-toolkit-for-the-practical-researcher|rsqkit
,,Documenting software,"Ability to create clear, concise and comprehensive technical documentation that communicates the design, functionality and usage of a software product.",,,"Diátaxis, Datasheets for Datasets, Model Cards for Model Reporting, Project Documentation - The Turing Way
OLS lesson",documenting-software,markdown|read-the-docs|mkdocs|sphynx|markdown|r-markdown|quarto|docstrings|javadoc|jsdoc|readme|citation-cff|cffinit|code-of-conduct|contribution-guidelines,ditaxis|datasheets-for-datasets|model-cards-for-model-reporting|project-documentation-the-turing-way|ols-lesson
,,Intellectual Property (IP) and software licensing,"Understanding Intellectual Property (IP) -  who owns or controls creative work (including software) - and software licensing as the legal mechanism that grants others the right to use, modify or distribute software.",,,"OLS Lesson
Licensing - The Turing Way
Choose an open source license
TLDRLegal",intellectual-property-ip-and-software-licensing,free-and-open-source-licences,ols-lesson|licensing-the-turing-way|choose-an-open-source-license|tldrlegal
,,Packaging and releasing code,"Preparing software for distribution, including compiling, bundling dependencies, versioning, preparing release notes and creating installable or deployable artifacts.",,,Material from communities like PyOpenSci and RopenSci: https://devguide.ropensci.org/ and https://www.pyopensci.org/python-package-guide/index.html,packaging-and-releasing-code,pypi|conda-forge|docker-hub|github-container-registry-ghcr|github-releases|spack-io|cmake|docker|zip-files|executables|yaml|json|toml|binary-executables,pyopensci-packages|ropensci-packages
,,Deploying code,"Ability to take packaged software and make it available in target environments, including provisioning infrastructure, configuring services, rolling out updates, managing rollbacks and ensuring minimal downtime.",,,Continuous integration - The Turing Way,deploying-code,ansible|jenkins|github-actions|gitlab-cicd|travis-ci|azure-devops|aws-codepipeline|bitbucket-pipelines,continuous-integration-the-turing-way
,,Containerisation,"Ability to package, deploy and manage applications using containers, enabling consistent and reliable execution across diverse environments.",,,Reproducible computational environment with Docker,containerisation,docker|singularity|apptainer|kubernetes|argo|argo-cd,reproducible-computational-environment-with-docker
,,Task automation,"Expertise in creation and maintenance of automated scripts and workflows that build, test and deploy software.",computational-scientific-workflows-data-pipelines,,,task-automation,makefiles|ansible|jenkins|github-actions|gitlab-cicd|travis-ci|azure-devops|aws-codepipeline|bitbucket-pipelines,
,,Green computing,"Understanding of environmentally sustainable computing - environmental consequences of software development and deployment, including energy consumption, resource usage and the overall carbon footprint of the software lifecycle.",profiling-and-optimising-code,,"Green Software Foundation, Digital Humanities Climate Coalition Toolkit, Green500",green-computing,,green-software-foundation|digital-humanities-climate-coalition-toolkit|green500
,,Parallel programming,"Applying core parallel software design concepts, methodologies and algorithms for writing parallel code.",parallel-computing-and-usage-of-hpc-systems,,,parallel-programming,parallel-data-and-task-decomposition|algorithm-scalability-design|load-balancing|memory-hierarchy-and-data-locality-optimisation|communication-optimisation|synchronisation-and-concurrency-control|message-passing-interface-mpi|shared-memory-programming|message-passing-parallelism-mpp|openmp|cuda|single-instruction-multiple-data-simd|openacc|hip|sycl|dpc-plus-plus|memory-hierarchies|multi-threading|multi-processing|posix-threads|concurrent-futures|message-passing-interface-mpi|dask|locks|semaphores|atomic-operations|signals,introduction-to-parallel-computing|the-art-of-multiprocessor-programming|parallel-and-high-performance-computing|parallel-scaling-guide|accelerator-and-gpu-programming|introduction-to-parallel-programming-by-the-carpentries
,,Programming paradigms,Ability to understand and apply different approaches to structuring and organising code.,,,,programming-paradigms,functional-programming|lisp|object-oriented-programming-oop|java|python|smalltalk|procedural-programming|pascal|fortran|cobol|logic-programming|prolog,
,,Software patterns ,"Ability to identify, understand and apply well-established, reusable solutions to common problems in software development.",,,,software-patterns,algorithms|design-patterns,
,,APIs,Ability design and use Application Programming Interfaces (APIs) that effectively facilitate communication between different software systems.,,,,apis,,
,,Software requirements,"Ability to effectively elicit, analyse and document the needs and requirements of stakeholders, translating them into a clear and actionable set of software specifications.",,,Interviews with end-users of the software,software-requirements,,interviews-with-end-users-of-the-software
,,Software architecture and design,Ability to conceptualise and design the foundational structure of a software system aligned with stakeholder requirements.,,,,software-architecture-and-design,entity-relationship-diagrams-erd|microservices|model-view-controller-mvc|uml|n-tier-architecture|design-patterns,
,User Interface / User Experience (UI/UX) design,,"Creating intuitive, inclusive and engaging digital experiences through thoughtful design and user-centered practices.",,,,user-interface-user-experience-uiux-design,,
,,Designing user interfaces,"Proficiency in design principles, best practices, heuristic, tools and understanding of user behaviour for interface design.",,,,designing-user-interfaces,wireframing|pyside|tkinter|pyqt|qt|graphical-user-interfaces,
,,Designing user experience,"Understanding user needs through research, creating intuitive interfaces via wireframing and prototyping and ensuring usability through testing.",,,,designing-user-experience,wireframing|graphical-user-interfaces,
,,Accessible design,Ability to design and develop user interfaces and experiences that are usable by people with a wide range of abilities and disabilities.,,,,accessible-design,wcag|colour-contrast-checking,webaim-accesibility-resources
Computing infrastructures and systems,,,"Understanding and oversight of digital infrastructure - encompassing computing, storage and networks - that underpins research, collaboration and digital service delivery.",,,,computing-infrastructures-and-systems,,
,General systems infrastructure,,"Broad understanding of digital infrastructure - including hardware, networks and system integration that supports everyday operations and research.",,,,general-systems-infrastructure,,
,,Hardware systems,"Knowledge of the physical components (including CPUs, GPUs, memory and accelerators) that support small and large-scale computational tasks.",storage-systems|network-communication-protocols|supercomputer-architecture|network-architecture-design,,,hardware-systems,nfs|server-message-block-smb|memory-hierarchies|cpus|gpus,
,,Storage systems,"Ability to design, configure, manage and optimise systems used to store, organise, protect, and retrieve digital data, including storage hardware, storage architectures, data management strategies and reliability mechanisms.",data-and-database-management,,,storage-systems,nfs|storage-hardware|storage-architecture|data-redundancy-and-reliability|data-availability-and-capacity-planning|opendap,
,,Network architecture design,"Ability to design and optimise network structures and topologies to ensure reliable, secure and high-performance communication between systems, considering factors such as scalability, latency, bandwidth and fault tolerance.",network-communication-protocols,,,network-architecture-design,network-topology-design|routing-and-traffic-engineering|network-performance-analysis|network-resilience-and-fault-tolerance|infiniband|network-architecture,
,,Network communication protocols,"Understanding how information is transmitted, routed and received across networks.",network-and-application-security|network-architecture-design,,,network-communication-protocols,internet-protocol-ip|ipsec|tcp|udp|https|dns|ftpsftp|websocket|routing-algorithms|border-gateway-protocol-bgp|smtp|imap|pop3|infiniband,
,,Network and application security,"Proficiency in protecting networks, systems and applications from security threats.",network-communication-protocols,,,network-and-application-security,ipsec|ssh|ssltls|https|encryption|authentication|authorisation-and-access-control|vulnerability-management|firewalls|microsoft-defender|iptables|nftables|pf|aws-web-application-firewall|azure-firewall|google-cloud-armor|cloudflare,what-is-authorization-and-access-control
,,Systems architecture and infrastructure design,"Ability to design integrated computing systems by selecting and organising compute, storage, and networking components to meet performance, scalability and reliability requirements.",network-architecture-design|hardware-systems|storage-systems,,,systems-architecture-and-infrastructure-design,,
,,System configuration and administration,"
Ability to configure, manage and maintain systems to support live applications and services.",network-communication-protocols|network-and-application-security|storage-systems|environment-and-package-management,,,system-configuration-and-administration,operating-systems|linux|unix|microsoft-windows|macos|posix-file-permissions|unix-domain-sockets|immutable-operating-systems|ansible|singularity|sylc|terraform|helm|packer|argo|argo-cd,
,,Environment and package management,"Technical proficiency in sourcing, compiling, building and adminstrating software environments (software packages and dependencies).",,,,environment-and-package-management,cmake|spack-io|eessi-io|lmod|building-systems-from-source|binary-executables,
,Cloud infrastructure,,"Cloud platforms and computing for flexible, scalable and cost-effective computing, storage, and data services.",,,,cloud-infrastructure,,
,,Cost modelling,"Ability to estimate, monitor and optimise the cost of cloud resources and services.",,,,cost-modelling,cloud-cost-calculators|aws-pricing-calculator|azure-calculator|simgrid|slurm-accounting-tools|remora,green500
,,Serverless computing,"Proficiency in serverless technologies, understanding of event-driven architectures and a cloud computing execution model that allows one to build and run application code without provisioning or managing servers or back-end infrastructure and allocates machine resources on an as-used basis. ",cloud-computing,,,serverless-computing,netlify|aws-lambda|azure-functions|google-cloud-functions,
,,Cloud computing,"Ability to work with cloud services, platforms, and technologies in a cost-efficient and optimised manner.",,,Optimize Athena performance,cloud-computing,terraform|aws|azure,optimize-athena-performance
,,Virtualisation and container infrastructure,"Ability to create, manage, orchestrate and troubleshoot virtualisation technologies, including the ability to deploy, scale, and monitor applications running within them.",containerisation,,,virtualisation-and-container-infrastructure,docker|vmware|virtualbox|oracle-virtualbox|microsoft-hyper-v|singularity|apptainer|awx|ansible|netbox|kro|pulumi|podman,
,HPC infrastructure,,Knowledge of high-performance computing systems and practices that support data- or compute-intensive computational research and large-scale simulations.,,,,hpc-infrastructure,,
,,Supercomputer architecture,"Understanding of supercomputer architectures (e.g., node types, interconnects, storage systems).",highperformance-storage-systems|network-architecture-design,,,supercomputer-architecture,,
,,High-performance storage systems,"Ability to design, configure and use storage systems that allow multiple processes or compute nodes to read and write data simultaneously, enabling high-throughput data access in parallel and distributed computing environments.",storage-systems,,,highperformance-storage-systems,gpfs|lustre|aws-s3|beegfs|parallel-file-systems|fast-storage|storage-performance-management,
,,Cluster infrastructure,"Familiarity with cluster infrastructure's physical components including compute nodes, head nodes, login nodes, interconnects, networking, lock management.",cost-modelling|highperformance-storage-systems,,"Cloud Native Glossary
Red Hat Cluster Suite



",cluster-infrastructure,redhat-cluster-suite,cloud-native-glossary|redhat-cluster-suite
,,HPC software stack,"Understanding of the layered software environment that enables high-performance computing, including operating systems, compilers, libraries, middleware, runtimes, and scientific applications. This includes configuring, deploying, and maintaining software to support efficient and reproducible computation on HPC systems.",environment-and-package-management|cluster-management|highperformance-storage-systems,,,hpc-software-stack,operating-systems|linux|unix|compilers|gcc|nvidia-hpc-sdk|libraries|message-passing-interface-mpi|openmp|blas|lapack|cuda||gdb|valgrind|intel-vtune|nvidia-nsight|binary-executables,
,,Cluster management,"Managing and maintaining HPC clusters to ensure reliability, performance, and availability. This includes system configuration, resource allocation, user and quota management, security, monitoring, upgrades, and troubleshooting hardware and software issues in multi-user, large-scale computing environments.",hpc-software-stack|job-scheduling-and-resource-management,,,cluster-management,xcat|ansible|nagios|prometheus|grafana|warewulf|ganglia,
,,Job scheduling and resource management,"Understanding of job schedulers and resource management to allocate compute resources effectively. This includes writing job submission scripts, understanding queue policies, optimising resource requests, and supporting fair and efficient use of shared HPC infrastructure.",cluster-management,,,job-scheduling-and-resource-management,job-scheduling|load-balancing|simple-linux-utility-for-resource-management-slurm|portable-batch-system-pbs|load-sharing-facility-lsf|htcondor|oracle-grid-engine|cgroups,
,,Performance analysis and optimisation,Ability to profile and benchmark applications to identify bottlenecks and optimise applications and systems on HPC systems for high performance.,profiling-and-optimising-code,,,performance-analysis-and-optimisation,hpctoolkit|extrae|paraver|scalasca|vampir|arm-performance-reports|arm-map|intel-advisor|tau|reframe|excalibur-tests,
,,Parallel computing and usage of HPC systems,"Understaning of cluster operation and proficiency in using HPC infrastructures and running, scaling and optimising parallel applications on high-performance computing systems.",parallel-programming|performance-analysis-and-optimisation|job-scheduling-and-resource-management,,,parallel-computing-and-usage-of-hpc-systems,scalability-analysis|post-processing|load-balancing|hpc-tiers|memory-hierarchies|cuda|distributed-computing|apache-spark|ray,introduction-to-parallel-computing|the-art-of-multiprocessor-programming|parallel-and-high-performance-computing
,Web infrastructure,,"Design, deployment, and maintenance of the technologies that support robust, scalable, and secure online platforms and services.",,,,web-infrastructure,,
,,Web protocols,"Ability to understand, implement, and manage the various communication standards that govern data exchange on the Web.",network-communication-protocols,,,web-protocols,https|ssltls|dns,
,,Web security,"Ability to protect websites, Web applications and web infrastructure from various online threats and vulnerabilities.",network-communication-protocols|network-and-application-security,,,web-security,ssltls|ipsec|ssh|public-key-certificates|https,
,,Web and application servers,Ability to manage and maintain the infrastructure that hosts websites and Web applications and services.,,,,web-and-application-servers,apache-web-server|nginx|apache-tomcat|node-js|wildfly,
Professional and people skills,,,"Core capabilities that enable individuals to operate effectively and ethically within diverse, multidisciplinary and evolving professional environments.",,,,professional-and-people-skills,,
,Personal skills,,"Self-management capabilities such as initiative, adaptability, resilience, time management and a commitment to continuous learning.",,,,personal-skills,,
,,Analytical skills and problem solving,"Ability to break down complex problems, evaluate information and available options critically, and select the most effective solution based on logical reasoning.",,,Introducing Computational Thinking ,analytical-skills-and-problem-solving,,introducing-computational-thinking
,,Curiosity,"Being inquisitive and willing to ask questions, explore new ideas and seek deeper understanding.",lifelong-learning|asking-for-help-or-asking-to-understand,,,curiosity,,
,,Positive engagement,"Demonstrating a genuine interest, energy, enthusiasm and positive attitude toward tasks, learning and collaboration.",,,"Improv, yes-and exercise",positive-engagement,,improv-yes-and-exercise
,,Adaptability,"Ability to adjust to new conditions, changes in the environment or unexpected challenges.",adaptability-of-technical-skills-across-domains,,,adaptability,,
,,Resilience,"Ability to recover from setbacks, cope with stress and maintain motivation and focus in face of difficulties.",,,,resilience,,
,,Business acumen,Understanding and application of fundamental business principles to make informed decisions that drive success.,,,,business-acumen,,
,,Integrity and ethics,"Being ethical, acting with honesty, fairness and respect and upholding strong moral principles even when it is difficult or inconvenient.",,,,integrity-and-ethics,,
,,Goal-setting,"Ability to identify, plan and work toward achievable objectives, both short- and long-term, with focus and discipline.",,,,goalsetting,,
,,Innovation and creativity,"Ability to think outside the box, generate new ideas and find novel solutions to problems or opportunities.",curiosity,,,innovation-and-creativity,design-thinking,
,,Time management and context switching,"Ability to effectively prioritise and shift focus between competing demands, manage deadlines and allocate time across multiple responsibilities without sacrificing quality.",,,,time-management-and-context-switching,workspace-management|time-management,
,,Maintaining focus,Ability to concentrate on a specific task despite distractions.,,,,maintaining-focus,pomodoro,
,,Decision making,"Ability to assess information, weigh options, consider potential outcomes and choose the best course of action in a given situation.",,,,decision-making,decision-making-processes,
,,"Understanding of mental health, stress and burnout","Awareness of emotional well-being, recognising signs of stress or burnout in yourself and others, and applying strategies for maintaining mental health.",,,Task Management for Humans as Self Care: Summary and Setup https://www.open.edu/openlearn/body-mind/all-content?filter=date/grid/201/freecourses/all/all/all/all,understanding-of-mental-health-stress-and-burnout,,task-management-for-humans-as-self-care-summary-and-setup|mental-health-free-courses-open-university
,,Self-reflection,Ability to conduct reflective practice and identify opportunities for growth and improvement.,,,,selfreflection,,
,Interpersonal skills,,"Ability to build rapport, demonstrate empathy, navigate social dynamics and communicate effectively in diverse professional settings",,,,interpersonal-skills,,
,,Cultural awareness and sensitivity,"Ability to recognise, respect, and appropriately respond to cultural differences in beliefs, behaviors, and communication styles",,,The Culture Map by Erin Meyer,cultural-awareness-and-sensitivity,,the-culture-map-by-erin-meyer
,,"Emotional intelligence, empathy and respect for others","Ability to understand, manage and respond to your own emotions and those of others, fostering trust, respect and effective communication.",,,The benefits of mindfulness and five common myths surrounding it | OpenLearn - Open University,emotional-intelligence-empathy-and-respect-for-others,,the-benefits-of-mindfulness-and-five-common-myths-surrounding-it|10-ways-to-be-respectful
,,Patience,"Ability to remaining calm, tolerant and professional during complex or slow processes.",,,,patience,,
,,EDIA awareness,"Understanding principles of Equity, Diversity, Inclusion, and Accessibility (EDIA), and actively applying inclusive practices in your work and environment.",recognising-stereotypes-and-unconscious-bias|cultural-awareness-and-sensitivity,,Ally Skills Training https://www.open.edu/openlearn/money-business/diversity-and-inclusion-the-workplace/content-section-overview?active-tab=description-tab ,edia-awareness,recognising-stereotypes,ally-skills-training|understanding-neurodiversity
,,Recognising stereotypes and unconscious bias,"Identifying automatic, often unconscious, biases - in oneself, collegues or community - and consciously challenging them to avoid discrimination.",,,,recognising-stereotypes-and-unconscious-bias,,
,,Conflict prevention and resolution,"Ability to identify potential sources of conflict and address them constructively through communication, compromise and mediation.",conflict-prevention-and-resolution,,Difficult Conversations: How to discuss what matters most https://www.open.edu/openlearn/education-development/bringing-problems-work-without-making-things-worse https://www.open.edu/openlearn/education-development/how-say-no-work-without-guilt-or-conflict,conflict-prevention-and-resolution,,difficult-conversations-how-to-discuss-what-matters-most|bringing-up-problems-at-work-without-making-things-worse|how-to-say-no-at-work-without-guilt-or-conflict|handling-conflict
,,"Influencing, persuasion and negotiation","Communicating effectively to shape opinions, reach agreements, and achieve mutually beneficial outcomes while respecting others' viewpoints",understanding-other-peoples-goals-and-motivations,,,influencing-persuasion-and-negotiation,,
,Teamwork,,"Working constructively and inclusively with others to achieve shared goals, contribute to group problem-solving and foster a positive team culture.",,,,teamwork,,
,,Asking for help or asking to understand,"Willingness to seek clarification, request support or ask thoughtful questions to enhance understanding and avoid mistakes.",curiosity,,,asking-for-help-or-asking-to-understand,,
,,Collaboration,"Working effectively with others, sharing resources and coordinating efforts to achieve shared objectives.",community-engagement,,,collaboration,,
,,Using collaborative tools,"Ability to effectively use collaborative platforms and tools for sharing ideas, content and real-time collaboration across distances.",,,A guide to using virtual events to facilitate community building: Selecting and testing online tools,using-collaborative-tools,slack|mattermost|microsoft-teams|google-docs|github|codimd|hedgedoc|dropbox,a-guide-to-using-virtual-events-to-facilitate-community-building-selecting-and-testing-online-tools
